Unnamed: 0,Molecule Name,SMILES,Mean activity (%),Standard Deviation
166,PCM-0223579,OC[C@@H](Cc1ccccc1)NC(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,26.2,0.1
168,PCM-0223578,Cc1cc(Br)c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(c1)[N+](=O)[O-],84.5,0.5
170,PCM-0223577,Cc1nc(Cl)c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(Cl)n1,83.6,0.4
172,PCM-0223576,Fc1cc(Br)cc(F)c1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,83.8,0.2
174,PCM-0223575,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3)c4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,71.5,1.6
176,PCM-0223574,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(cc3I)C#N)Cc2c1)C(=O)Nc4cncc5ccccc45,84.5,0.0
178,PCM-0223573,COc1cc(Cl)c(C)cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,85.9,1.4
180,PCM-0223572,CC(C)(C)c1ccc(O)c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1,68.8,1.0
182,PCM-0223571,Clc1ccc2[C@@H](CN(CC(=O)Nc3cccc(c3)c4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,80.0,2.2
184,PCM-0223570,Fc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(Br)c1,83.1,0.3
186,PCM-0223569,Fc1cccc(CN2CCN(CC2)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)c1,66.4,0.0
188,PCM-0223568,OC(CNC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c4ccc(Cl)cc4C1)c5ccc(O)cc5,15.9,0.1
190,PCM-0223567,FC(F)(F)c1nnc2CN(CCn12)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,64.5,0.1
192,PCM-0223566,Oc1c(Cl)cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1Cl,44.7,1.3
194,PCM-0223565,CN(Cc1cccc(c1)[N+](=O)[O-])C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,61.9,1.3
196,PCM-0223564,FC(F)(F)c1nc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)ncc1Br,87.4,2.2
198,PCM-0223563,Clc1ccc2[C@@H](CN(CC(=O)N3CCOCC3)Cc2c1)C(=O)Nc4cncc5ccccc45,51.8,0.5
200,PCM-0223562,CC(C)(C)N(Cc1ccccc1)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,84.5,0.5
202,PCM-0223561,Clc1ccc2[C@@H](CN(CC(=O)NCCc3ccc(Cl)c(Cl)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,12.4,1.8
204,PCM-0223560,CCOC(=O)C1CCCN(C1)C(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,33.7,0.3
206,PCM-0223559,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccccc3c4nc5ccccc5[nH]4)Cc2c1)C(=O)Nc6cncc7ccccc67,84.7,0.3
208,PCM-0223558,Cc1c(Br)cnc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1[N+](=O)[O-],71.1,0.6
210,PCM-0223557,[O-][N+](=O)c1c(F)cccc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,87.7,0.1
212,PCM-0223556,Clc1ccc2[C@@H](CN(CC(=O)Nc3nnc(s3)c4ccncc4)Cc2c1)C(=O)Nc5cncc6ccccc56,63.7,0.1
214,PCM-0223555,FC(F)(F)Oc1ccc(Cl)cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,87.8,0.1
216,PCM-0223554,Fc1cccc(Br)c1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,22.9,0.0
218,PCM-0223553,Clc1ccc2[C@@H](CN(CC(=O)NCc3ccc(cc3)c4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,54.4,10.6
220,PCM-0223552,COc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(c1)[N+](=O)[O-],80.6,0.4
222,PCM-0223551,Clc1ccc(CCNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(Cl)c1,15.3,0.0
224,PCM-0223550,COc1cc2CCN(Cc2cc1OC)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,72.4,0.2
226,PCM-0223549,CC1=CC(=O)Oc2cc(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)ccc12,68.7,1.7
228,PCM-0223548,Oc1c(Cl)cc(Cl)cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,31.2,0.3
230,PCM-0223547,Cc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1Br,50.3,0.3
232,PCM-0223546,FC(F)(F)C1CCN(CC1)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,44.1,0.9
234,PCM-0223545,Cc1c(Br)cccc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,58.9,0.5
236,PCM-0223544,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccccc3)Cc2c1)C(=O)Nc4cncc5ccccc45,9.9,0.1
238,PCM-0223543,Clc1ccc2[C@@H](CN(CC(=O)NCc3c(Cl)cccc3Cl)Cc2c1)C(=O)Nc4cncc5ccccc45,66.2,23.6
240,PCM-0223542,Clc1ccc2[C@@H](CN(CC(=O)Nc3cccc(I)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,63.2,0.3
242,PCM-0223541,Clc1ccc2[C@@H](CN(CC(=O)N3CCC(=CC3)c4ccccc4)Cc2c1)C(=O)Nc5cncc6ccccc56,69.7,1.6
244,PCM-0223540,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(Br)c4ccccc34)Cc2c1)C(=O)Nc5cncc6ccccc56,78.2,0.6
246,PCM-0223539,FC(F)(F)c1cc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)ccc1Br,80.1,0.6
248,PCM-0223538,Fc1cc(C#N)c(F)cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,73.4,0.3
250,PCM-0223537,COc1cc(CNC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)ccc1O,5.6,0.2
252,PCM-0223536,COc1cc2nc(Cl)nc(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)c2cc1OC,79.0,1.0
254,PCM-0223535,Oc1ccccc1N2CCN(CC2)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,20.5,0.4
256,PCM-0223534,CCN(Cc1ccc(F)cc1)C(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,39.2,0.7
258,PCM-0223533,Clc1ccc2[C@@H](CN(CC(=O)Nc3cccc(Br)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,59.7,0.7
260,PCM-0223532,Cc1cc(Br)c(Cl)cc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,82.4,0.8
262,PCM-0223531,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(Cl)cc3C#N)Cc2c1)C(=O)Nc4cncc5ccccc45,82.6,0.3
